data name: FB15k
model name: MRAN
learning rate: 0.0001
entity dimension: 400
relation dimension: 400
batch size: 128
decay rate: 1.0
label smoothing: 0.1
convolution parameters: {'input_dropout': 0.2, 'hidden_dropout': 0.3, 'feature_map_dropout': 0.2, 'in_channels': 1, 'out_channels': 48, 'filt_height': 2, 'filt_width': 5}

Epoch	MR	MRR	Hits1	Hits3	Hits10	Best_MR	Best_MRR	Best_Hits1	Best_Hits3	Best_Hits10
5	1485.0	0.170	0.124	0.182	0.255	1485.0	0.170	0.124	0.182	0.255
10	362.1	0.236	0.173	0.254	0.356	362.1	0.236	0.173	0.254	0.356
15	230.9	0.292	0.214	0.318	0.439	230.9	0.292	0.214	0.318	0.439
20	161.9	0.353	0.263	0.391	0.522	161.9	0.353	0.263	0.391	0.522
25	128.6	0.411	0.312	0.458	0.591	128.6	0.411	0.312	0.458	0.591
30	108.8	0.463	0.361	0.518	0.649	108.8	0.463	0.361	0.518	0.649
35	96.6	0.507	0.404	0.565	0.692	96.6	0.507	0.404	0.565	0.692
40	86.0	0.546	0.444	0.607	0.727	86.0	0.546	0.444	0.607	0.727
45	80.4	0.582	0.482	0.643	0.757	80.4	0.582	0.482	0.643	0.757
50	77.9	0.614	0.517	0.675	0.782	77.9	0.614	0.517	0.675	0.782
55	75.5	0.643	0.552	0.702	0.803	75.5	0.643	0.552	0.702	0.803
60	76.1	0.667	0.579	0.724	0.819	75.5	0.667	0.579	0.724	0.819
65	74.9	0.695	0.613	0.750	0.837	74.9	0.695	0.613	0.750	0.837
70	73.9	0.714	0.636	0.766	0.849	73.9	0.714	0.636	0.766	0.849
75	74.1	0.731	0.658	0.781	0.857	73.9	0.731	0.658	0.781	0.857
80	75.6	0.746	0.676	0.793	0.865	73.9	0.746	0.676	0.793	0.865
85	75.4	0.758	0.692	0.803	0.870	73.9	0.758	0.692	0.803	0.870
90	76.4	0.768	0.706	0.810	0.873	73.9	0.768	0.706	0.810	0.873
95	76.7	0.776	0.716	0.817	0.877	73.9	0.776	0.716	0.817	0.877
100	76.3	0.781	0.724	0.821	0.878	73.9	0.781	0.724	0.821	0.878
105	75.3	0.787	0.731	0.825	0.881	73.9	0.787	0.731	0.825	0.881
110	76.5	0.792	0.738	0.829	0.883	73.9	0.792	0.738	0.829	0.883
115	75.9	0.794	0.740	0.831	0.884	73.9	0.794	0.740	0.831	0.884
120	77.3	0.797	0.745	0.832	0.884	73.9	0.797	0.745	0.832	0.884
125	77.1	0.797	0.745	0.834	0.885	73.9	0.797	0.745	0.834	0.885
130	78.0	0.800	0.749	0.835	0.885	73.9	0.800	0.749	0.835	0.885
135	77.9	0.803	0.754	0.836	0.886	73.9	0.803	0.754	0.836	0.886
140	77.8	0.803	0.754	0.838	0.886	73.9	0.803	0.754	0.838	0.886
145	78.4	0.805	0.756	0.838	0.888	73.9	0.805	0.756	0.838	0.888
150	78.1	0.805	0.756	0.838	0.887	73.9	0.805	0.756	0.838	0.888
155	78.6	0.805	0.756	0.839	0.888	73.9	0.805	0.756	0.839	0.888
160	77.9	0.806	0.757	0.841	0.889	73.9	0.806	0.757	0.841	0.889
165	78.8	0.807	0.758	0.840	0.889	73.9	0.807	0.758	0.841	0.889
170	78.8	0.806	0.757	0.840	0.889	73.9	0.807	0.758	0.841	0.889
175	79.2	0.806	0.758	0.840	0.888	73.9	0.807	0.758	0.841	0.889
180	79.7	0.806	0.757	0.839	0.887	73.9	0.807	0.758	0.841	0.889
185	80.6	0.806	0.757	0.840	0.889	73.9	0.807	0.758	0.841	0.889
190	78.9	0.805	0.755	0.839	0.890	73.9	0.807	0.758	0.841	0.890
195	79.2	0.806	0.757	0.840	0.889	73.9	0.807	0.758	0.841	0.890
200	79.3	0.806	0.756	0.840	0.889	73.9	0.807	0.758	0.841	0.890
205	80.2	0.804	0.754	0.840	0.888	73.9	0.807	0.758	0.841	0.890
210	79.1	0.805	0.756	0.839	0.889	73.9	0.807	0.758	0.841	0.890
215	80.4	0.804	0.754	0.838	0.889	73.9	0.807	0.758	0.841	0.890
220	80.1	0.805	0.756	0.838	0.889	73.9	0.807	0.758	0.841	0.890
225	79.4	0.804	0.754	0.838	0.889	73.9	0.807	0.758	0.841	0.890
230	80.5	0.803	0.753	0.838	0.889	73.9	0.807	0.758	0.841	0.890
235	80.2	0.801	0.749	0.837	0.890	73.9	0.807	0.758	0.841	0.890
240	81.0	0.803	0.751	0.837	0.889	73.9	0.807	0.758	0.841	0.890
245	81.1	0.802	0.751	0.837	0.889	73.9	0.807	0.758	0.841	0.890
250	81.9	0.801	0.749	0.837	0.889	73.9	0.807	0.758	0.841	0.890
255	84.3	0.798	0.744	0.833	0.888	73.9	0.807	0.758	0.841	0.890
260	83.0	0.801	0.749	0.836	0.889	73.9	0.807	0.758	0.841	0.890
265	83.1	0.800	0.747	0.835	0.889	73.9	0.807	0.758	0.841	0.890
270	82.9	0.800	0.747	0.836	0.890	73.9	0.807	0.758	0.841	0.890
275	81.6	0.801	0.749	0.837	0.890	73.9	0.807	0.758	0.841	0.890
280	83.5	0.802	0.750	0.836	0.890	73.9	0.807	0.758	0.841	0.890
285	85.2	0.800	0.747	0.836	0.890	73.9	0.807	0.758	0.841	0.890
290	83.3	0.799	0.746	0.836	0.890	73.9	0.807	0.758	0.841	0.890
295	82.7	0.798	0.745	0.835	0.889	73.9	0.807	0.758	0.841	0.890
300	82.1	0.798	0.744	0.836	0.890	73.9	0.807	0.758	0.841	0.890
