data name: WN18RR
model name: MRAN
learning rate: 0.001
entity dimension: 400
relation dimension: 400
batch size: 128
decay rate: 1.0
label smoothing: 0.1
convolution parameters: {'input_dropout': 0.4, 'hidden_dropout': 0.4, 'feature_map_dropout': 0.3, 'in_channels': 1, 'out_channels': 48, 'filt_height': 2, 'filt_width': 7}

Epoch	MR	MRR	Hits1	Hits3	Hits10	Best_MR	Best_MRR	Best_Hits1	Best_Hits3	Best_Hits10
5	14752.3	0.023	0.014	0.020	0.041	14752.3	0.023	0.014	0.020	0.041
10	11660.6	0.026	0.015	0.025	0.045	11660.6	0.026	0.015	0.025	0.045
15	5799.8	0.082	0.053	0.087	0.135	5799.8	0.082	0.053	0.087	0.135
20	5542.4	0.307	0.262	0.327	0.392	5542.4	0.307	0.262	0.327	0.392
25	5874.1	0.406	0.382	0.417	0.445	5542.4	0.406	0.382	0.417	0.445
30	5840.6	0.420	0.398	0.428	0.457	5542.4	0.420	0.398	0.428	0.457
35	5831.2	0.427	0.405	0.433	0.469	5542.4	0.427	0.405	0.433	0.469
40	5602.2	0.434	0.409	0.443	0.477	5542.4	0.434	0.409	0.443	0.477
45	5837.8	0.438	0.413	0.448	0.479	5542.4	0.438	0.413	0.448	0.479
50	5641.8	0.439	0.414	0.451	0.484	5542.4	0.439	0.414	0.451	0.484
55	5614.3	0.441	0.416	0.449	0.485	5542.4	0.441	0.416	0.451	0.485
60	5756.5	0.442	0.417	0.452	0.489	5542.4	0.442	0.417	0.452	0.489
65	5697.8	0.443	0.418	0.454	0.491	5542.4	0.443	0.418	0.454	0.491
70	5660.4	0.445	0.419	0.457	0.491	5542.4	0.445	0.419	0.457	0.491
75	5699.0	0.447	0.422	0.458	0.495	5542.4	0.447	0.422	0.458	0.495
80	5614.5	0.447	0.420	0.459	0.497	5542.4	0.447	0.422	0.459	0.497
85	5507.7	0.450	0.424	0.459	0.499	5507.7	0.450	0.424	0.459	0.499
90	5552.7	0.450	0.425	0.461	0.498	5507.7	0.450	0.425	0.461	0.499
95	5566.4	0.449	0.422	0.459	0.501	5507.7	0.450	0.425	0.461	0.501
100	5595.9	0.451	0.424	0.464	0.502	5507.7	0.451	0.425	0.464	0.502
105	5499.1	0.452	0.424	0.463	0.504	5499.1	0.452	0.425	0.464	0.504
110	5749.8	0.453	0.426	0.463	0.505	5499.1	0.453	0.426	0.464	0.505
115	5473.7	0.453	0.425	0.464	0.506	5473.7	0.453	0.426	0.464	0.506
120	5560.1	0.454	0.425	0.465	0.508	5473.7	0.454	0.426	0.465	0.508
125	5444.5	0.454	0.427	0.465	0.507	5444.5	0.454	0.427	0.465	0.508
130	5400.5	0.456	0.428	0.468	0.509	5400.5	0.456	0.428	0.468	0.509
135	5477.4	0.457	0.430	0.465	0.514	5400.5	0.457	0.430	0.468	0.514
140	5526.0	0.456	0.428	0.466	0.513	5400.5	0.457	0.430	0.468	0.514
145	5455.7	0.455	0.426	0.466	0.512	5400.5	0.457	0.430	0.468	0.514
150	5518.3	0.457	0.427	0.472	0.515	5400.5	0.457	0.430	0.472	0.515
155	5521.8	0.457	0.430	0.468	0.511	5400.5	0.457	0.430	0.472	0.515
160	5447.1	0.458	0.429	0.470	0.514	5400.5	0.458	0.430	0.472	0.515
165	5418.0	0.458	0.430	0.470	0.515	5400.5	0.458	0.430	0.472	0.515
170	5407.1	0.458	0.429	0.471	0.515	5400.5	0.458	0.430	0.472	0.515
175	5371.4	0.462	0.434	0.472	0.515	5371.4	0.462	0.434	0.472	0.515
180	5471.3	0.460	0.431	0.472	0.513	5371.4	0.462	0.434	0.472	0.515
185	5408.1	0.457	0.426	0.470	0.517	5371.4	0.462	0.434	0.472	0.517
190	5430.4	0.460	0.431	0.473	0.515	5371.4	0.462	0.434	0.473	0.517
195	5533.7	0.458	0.428	0.470	0.513	5371.4	0.462	0.434	0.473	0.517
200	5445.5	0.460	0.431	0.471	0.514	5371.4	0.462	0.434	0.473	0.517
205	5365.8	0.463	0.433	0.476	0.517	5365.8	0.463	0.434	0.476	0.517
210	5437.4	0.463	0.433	0.475	0.518	5365.8	0.463	0.434	0.476	0.518
215	5468.4	0.460	0.430	0.473	0.519	5365.8	0.463	0.434	0.476	0.519
220	5376.2	0.460	0.430	0.473	0.519	5365.8	0.463	0.434	0.476	0.519
225	5466.2	0.462	0.433	0.472	0.519	5365.8	0.463	0.434	0.476	0.519
230	5511.1	0.462	0.432	0.475	0.518	5365.8	0.463	0.434	0.476	0.519
235	5454.6	0.463	0.434	0.473	0.520	5365.8	0.463	0.434	0.476	0.520
240	5444.2	0.463	0.433	0.476	0.519	5365.8	0.463	0.434	0.476	0.520
245	5398.8	0.461	0.430	0.474	0.519	5365.8	0.463	0.434	0.476	0.520
250	5481.0	0.464	0.434	0.477	0.520	5365.8	0.464	0.434	0.477	0.520
255	5481.3	0.463	0.431	0.477	0.522	5365.8	0.464	0.434	0.477	0.522
